Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
The Freshman,8/24/2014,7:15 PM,8/24/2014,8:31 PM,False,http://cinema.cornell.edu/Fall2014/freshman.html,,http://www.youtube.com/watch?v=1ntrhlDr8MU
Vertigo,8/24/2014,9:15 PM,8/24/2014,11:23 PM,False,http://cinema.cornell.edu/Fall2014/vertigo.html,,http://www.youtube.com/watch?v=Z5jvQwwHQNY
Orientation to Cornell Cinema,8/25/2014,7:15 PM,8/25/2014,8:45 PM,False,http://cinema.cornell.edu/Fall2014/orientation_to_cornell_c.html,,
The Grand Budapest Hotel,8/25/2014,9:15 PM,8/25/2014,10:55 PM,False,http://cinema.cornell.edu/Fall2014/grand_budapest_hotel.html,,http://www.youtube.com/watch?v=1Fg5iWmQjwk
Godzilla: The Japanese Original,8/26/2014,7:15 PM,8/26/2014,8:53 PM,False,http://cinema.cornell.edu/Fall2014/godzilla_the_japanese_or.html,,http://www.youtube.com/watch?v=yJDQ4YiwiJ8
The Freshman,8/26/2014,9:30 PM,8/26/2014,10:46 PM,False,http://cinema.cornell.edu/Fall2014/freshman.html,,http://www.youtube.com/watch?v=1ntrhlDr8MU
Vertigo,8/27/2014,7:00 PM,8/27/2014,9:08 PM,False,http://cinema.cornell.edu/Fall2014/vertigo.html,,http://www.youtube.com/watch?v=Z5jvQwwHQNY
The Grand Budapest Hotel,8/27/2014,9:45 PM,8/27/2014,11:25 PM,False,http://cinema.cornell.edu/Fall2014/grand_budapest_hotel.html,,http://www.youtube.com/watch?v=1Fg5iWmQjwk
The Grand Budapest Hotel,8/28/2014,7:15 PM,8/28/2014,8:55 PM,False,http://cinema.cornell.edu/Fall2014/grand_budapest_hotel.html,,http://www.youtube.com/watch?v=1Fg5iWmQjwk
Godzilla: The Japanese Original,8/28/2014,9:30 PM,8/28/2014,11:08 PM,False,http://cinema.cornell.edu/Fall2014/godzilla_the_japanese_or.html,,http://www.youtube.com/watch?v=yJDQ4YiwiJ8
Captain America: The Winter Soldier,8/29/2014,7:00 PM,8/29/2014,9:16 PM,False,http://cinema.cornell.edu/Fall2014/captain_america_the_wint.html,,http://www.youtube.com/watch?v=tbayiPxkUMM
Divergent,8/29/2014,10:00 PM,8/29/2014,12:19 PM,False,http://cinema.cornell.edu/Fall2014/divergent.html,,http://www.youtube.com/watch?v=sutgWjz10sM
The Wind Rises,8/30/2014,7:00 PM,8/30/2014,7:00 PM,False,http://cinema.cornell.edu/Fall2014/wind_rises.html,,http://www.youtube.com/watch?v=imtdgdGOB6Q
Captain America: The Winter Soldier,8/30/2014,9:45 PM,8/30/2014,12:01 PM,False,http://cinema.cornell.edu/Fall2014/captain_america_the_wint.html,,http://www.youtube.com/watch?v=tbayiPxkUMM
The Wind Rises,8/31/2014,7:00 PM,8/31/2014,7:00 PM,False,http://cinema.cornell.edu/Fall2014/wind_rises.html,,http://www.youtube.com/watch?v=imtdgdGOB6Q
X-Men: Days of Future Past,8/31/2014,9:45 PM,8/31/2014,11:56 PM,False,http://cinema.cornell.edu/Fall2014/xmen_days_of_future_past.html,,http://www.youtube.com/watch?v=pK2zYHWDZKo
Guess Who’s Coming to Dinner?,9/3/2014,7:15 PM,9/3/2014,9:03 PM,False,http://cinema.cornell.edu/Fall2014/guess_whos_coming_to_din.html,,http://www.youtube.com/watch?v=4a56FnhtuGI
Story of a 3-day Pass,9/3/2014,9:15 PM,9/3/2014,10:42 PM,False,http://cinema.cornell.edu/Fall2014/story_of_a_3day_pass.html,,http://www.youtube.com/watch?v=VutzM04exjs
The Day the Earth Stood Still,9/4/2014,7:00 PM,9/4/2014,8:32 PM,False,http://cinema.cornell.edu/Fall2014/day_the_earth_stood_stil.html,,http://www.youtube.com/watch?v=51JoEE_znyI
Only Lovers Left Alive,9/4/2014,9:20 PM,9/4/2014,11:23 PM,False,http://cinema.cornell.edu/Fall2014/only_lovers_left_alive.html,,http://www.youtube.com/watch?v=ycOKvWrwYFo
A Summer’s Tale,9/5/2014,7:00 PM,9/5/2014,8:53 PM,False,http://cinema.cornell.edu/Fall2014/summers_tale.html,,http://www.youtube.com/watch?v=ZiaMpW1OVyA
X-Men: Days of Future Past,9/5/2014,9:30 PM,9/5/2014,11:41 PM,False,http://cinema.cornell.edu/Fall2014/xmen_days_of_future_past.html,,http://www.youtube.com/watch?v=pK2zYHWDZKo
A Summer’s Tale,9/6/2014,7:00 PM,9/6/2014,8:53 PM,False,http://cinema.cornell.edu/Fall2014/summers_tale.html,,http://www.youtube.com/watch?v=ZiaMpW1OVyA
Only Lovers Left Alive,9/6/2014,9:30 PM,9/6/2014,11:33 PM,False,http://cinema.cornell.edu/Fall2014/only_lovers_left_alive.html,,http://www.youtube.com/watch?v=ycOKvWrwYFo
Only Lovers Left Alive,9/7/2014,7:00 PM,9/7/2014,9:03 PM,False,http://cinema.cornell.edu/Fall2014/only_lovers_left_alive.html,,http://www.youtube.com/watch?v=ycOKvWrwYFo
X-Men: Days of Future Past,9/7/2014,9:45 PM,9/7/2014,11:56 PM,False,http://cinema.cornell.edu/Fall2014/xmen_days_of_future_past.html,,http://www.youtube.com/watch?v=pK2zYHWDZKo
Dead Poets Society,9/8/2014,7:30 PM,9/8/2014,9:34 PM,False,http://cinema.cornell.edu/Fall2014/dead_poets_society.html,,http://www.youtube.com/watch?v=zivL4GgPxKg
Lawrence of Arabia,9/10/2014,7:15 PM,9/10/2014,11:00 PM,False,http://cinema.cornell.edu/Fall2014/lawrence_of_arabia.html,,http://www.youtube.com/watch?v=zmr1iSG3RTA
Looking for Adventure,9/11/2014,6:45 PM,9/11/2014,7:28 PM,False,http://cinema.cornell.edu/Fall2014/looking_for_adventure.html,,http://www.youtube.com/watch?v=DK0j8pU8hWA
Gringo Trails,9/11/2014,7:30 PM,9/11/2014,8:49 PM,False,http://cinema.cornell.edu/Fall2014/gringo_trails.html,,http://www.youtube.com/watch?v=DkZOFmrhy_8
The Fault in Our Stars,9/11/2014,9:30 PM,9/11/2014,11:36 PM,False,http://cinema.cornell.edu/Fall2014/fault_in_our_stars.html,,http://www.youtube.com/watch?v=9ItBvH5J6ss
