Subject, Start Date, Start Time, End Date, End Time, All Day Event, Description, Location
Blue Jasmine, 01/21/14, 7:15 PM, 01/21/14,  8:53 PM, False, http://cinema.cornell.edu/Spring2014/blue_jasmine.html, 
Porco Rosso, 01/22/14, 7:15 PM, 01/22/14,  8:49 PM, False, http://cinema.cornell.edu/Spring2014/porco_rosso.html, 
Gravity, 01/22/14, 9:30 PM, 01/22/14, 11:01 PM, False, http://cinema.cornell.edu/Spring2014/gravity_.html, 
The Pervert's Guide to Ideology, 01/23/14, 7:00 PM, 01/23/14,  9:16 PM, False, http://cinema.cornell.edu/Spring2014/perverts_guide_to_ideolo.html, 
Gravity, 01/23/14, 9:45 PM, 01/23/14, 11:16 PM, False, http://cinema.cornell.edu/Spring2014/gravity_.html, 
Blue Jasmine, 01/24/14, 7:15 PM, 01/24/14,  8:53 PM, False, http://cinema.cornell.edu/Spring2014/blue_jasmine.html, 
Gravity, 01/24/14, 9:30 PM, 01/24/14, 11:01 PM, False, http://cinema.cornell.edu/Spring2014/gravity_.html, 
The Pervert's Guide to Ideology, 01/25/14, 7:00 PM, 01/25/14,  9:16 PM, False, http://cinema.cornell.edu/Spring2014/perverts_guide_to_ideolo.html, 
Porco Rosso, 01/25/14, 9:45 PM, 01/25/14, 11:19 PM, False, http://cinema.cornell.edu/Spring2014/porco_rosso.html, 
At Berkeley, 01/26/14, 2:30 PM, 01/26/14,  6:34 PM, False, http://cinema.cornell.edu/Spring2014/at_berkeley.html, 
Gravity, 01/26/14, 7:15 PM, 01/26/14,  8:46 PM, False, http://cinema.cornell.edu/Spring2014/gravity_.html, 
Grass: A Nation's Battle for Life, 01/28/14, 7:30 PM, 01/28/14,  8:41 PM, False, http://cinema.cornell.edu/Spring2014/grass_a_nations_battle_f.html, SAGE
The Ring, 01/29/14, 7:00 PM, 01/29/14,  8:48 PM, False, http://cinema.cornell.edu/Spring2014/ring.html, 
Mulholland Drive, 01/29/14, 9:30 PM, 01/29/14, 11:56 PM, False, http://cinema.cornell.edu/Spring2014/mulholland_drive.html, 
