Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
The Hidden Fortress,8/21/2016,7:30 PM,8/21/2016,9:49 PM,False,http://cinema.cornell.edu/Fall2016/hidden_fortress.html,,http://www.youtube.com/watch?v=VBBeeOdQRiE
An Orientation to Cornell Cinema,8/22/2016,7:00 PM,8/22/2016,8:30 PM,False,http://cinema.cornell.edu/Fall2016/orientation_to_cornell_cinema.html,,
Nausicaä of the Valley of the Wind,8/22/2016,9:15 PM,8/22/2016,11:12 PM,False,http://cinema.cornell.edu/Fall2016/nausicaa_of_the_valley_of_the_wi.html,,http://www.youtube.com/watch?v=6zhLBe319KE
Beauty and the Beast,8/23/2016,7:00 PM,8/23/2016,8:36 PM,False,http://cinema.cornell.edu/Fall2016/beauty_and_the_beast.html,,http://vimeo.com/153126796
Zootopia,8/23/2016,9:30 PM,8/23/2016,11:18 PM,False,http://cinema.cornell.edu/Fall2016/zootopia.html,,http://www.youtube.com/watch?v=CzvH6_e2a-U
Walkabout,8/24/2016,7:00 PM,8/24/2016,8:40 PM,False,http://cinema.cornell.edu/Fall2016/walkabout.html,,http://www.youtube.com/watch?v=Fdqwbs8uKwQ
Some Like It Hot,8/24/2016,9:30 PM,8/24/2016,11:30 PM,False,http://cinema.cornell.edu/Fall2016/some_like_it_hot.html,,http://www.youtube.com/watch?v=57yS594gICo
Nausicaä of the Valley of the Wind,8/25/2016,7:00 PM,8/25/2016,8:57 PM,False,http://cinema.cornell.edu/Fall2016/nausicaa_of_the_valley_of_the_wi.html,,http://www.youtube.com/watch?v=6zhLBe319KE
Dragon Inn,8/25/2016,9:30 PM,8/25/2016,11:21 PM,False,http://cinema.cornell.edu/Fall2016/dragon_inn.html,,http://vimeo.com/167023846
Zootopia,8/26/2016,7:00 PM,8/26/2016,8:48 PM,False,http://cinema.cornell.edu/Fall2016/zootopia.html,,http://www.youtube.com/watch?v=CzvH6_e2a-U
Captain America: Civil War,8/26/2016,9:30 PM,8/26/2016,11:57 PM,False,http://cinema.cornell.edu/Fall2016/captain_america_civil_war.html,,http://www.youtube.com/watch?v=dKrVegVI0Us
The Lobster,8/27/2016,7:00 PM,8/27/2016,8:58 PM,False,http://cinema.cornell.edu/Fall2016/lobster.html,,http://www.youtube.com/watch?v=LTNZmOJxuAc
Captain America: Civil War,8/27/2016,9:30 PM,8/27/2016,11:57 PM,False,http://cinema.cornell.edu/Fall2016/captain_america_civil_war.html,,http://www.youtube.com/watch?v=dKrVegVI0Us
Dragon Inn,8/28/2016,7:00 PM,8/28/2016,8:51 PM,False,http://cinema.cornell.edu/Fall2016/dragon_inn.html,,http://vimeo.com/167023846
The Lobster,8/28/2016,9:20 PM,8/28/2016,11:18 PM,False,http://cinema.cornell.edu/Fall2016/lobster.html,,http://www.youtube.com/watch?v=LTNZmOJxuAc
Some Like It Hot,8/29/2016,9:15 PM,8/29/2016,11:15 PM,False,http://cinema.cornell.edu/Fall2016/some_like_it_hot.html,,http://www.youtube.com/watch?v=57yS594gICo
The Man Who Knew Infinity,8/30/2016,7:15 PM,8/30/2016,9:03 PM,False,http://cinema.cornell.edu/Fall2016/man_who_knew_infinity.html,,http://www.youtube.com/watch?v=oXGm9Vlfx4w
Chimes at Midnight,8/31/2016,7:15 PM,8/31/2016,9:11 PM,False,http://cinema.cornell.edu/Fall2016/chimes_at_midnight.html,,http://vimeo.com/167024669
Black Girl,9/1/2016,7:15 PM,9/1/2016,8:20 PM,False,http://cinema.cornell.edu/Fall2016/black_girl.html,,http://vimeo.com/167022630
The Neon Demon,9/1/2016,8:45 PM,9/1/2016,10:43 PM,False,http://cinema.cornell.edu/Fall2016/neon_demon.html,,http://www.youtube.com/watch?v=BuRCV6U3WeY
The Neon Demon,9/2/2016,7:00 PM,9/2/2016,8:58 PM,False,http://cinema.cornell.edu/Fall2016/neon_demon.html,,http://www.youtube.com/watch?v=BuRCV6U3WeY
X-Men: Apocalypse,9/2/2016,9:30 PM,9/2/2016,11:54 PM,False,http://cinema.cornell.edu/Fall2016/xmen_apocalypse.html,,http://www.youtube.com/watch?v=PfBVIHgQbYk
The Jungle Book,9/3/2016,7:00 PM,9/3/2016,8:46 PM,False,http://cinema.cornell.edu/Fall2016/jungle_book.html,,http://www.youtube.com/watch?v=5mkm22yO-bs
X-Men: Apocalypse,9/3/2016,9:15 PM,9/3/2016,11:39 PM,False,http://cinema.cornell.edu/Fall2016/xmen_apocalypse.html,,http://www.youtube.com/watch?v=PfBVIHgQbYk
The Jungle Book,9/4/2016,7:00 PM,9/4/2016,8:46 PM,False,http://cinema.cornell.edu/Fall2016/jungle_book.html,,http://www.youtube.com/watch?v=5mkm22yO-bs
X-Men: Apocalypse,9/4/2016,9:15 PM,9/4/2016,11:39 PM,False,http://cinema.cornell.edu/Fall2016/xmen_apocalypse.html,,http://www.youtube.com/watch?v=PfBVIHgQbYk
Homo Sapiens,9/6/2016,7:15 PM,9/6/2016,8:49 PM,False,http://cinema.cornell.edu/Fall2016/homo_sapiens.html,,http://www.youtube.com/watch?v=kOOGaT5iwgY
Sunset Song,9/7/2016,7:15 PM,9/7/2016,9:30 PM,False,http://cinema.cornell.edu/Fall2016/sunset_song.html,,http://www.youtube.com/watch?v=6Be0zgCk6a8
Homo Sapiens,9/8/2016,7:00 PM,9/8/2016,8:34 PM,False,http://cinema.cornell.edu/Fall2016/homo_sapiens.html,,http://www.youtube.com/watch?v=kOOGaT5iwgY
Tokyo Drifter,9/8/2016,9:15 PM,9/8/2016,10:37 PM,False,http://cinema.cornell.edu/Fall2016/tokyo_drifter.html,,http://www.youtube.com/watch?v=ENLNIQGmk90
Sunset Song,9/9/2016,7:00 PM,9/9/2016,9:15 PM,False,http://cinema.cornell.edu/Fall2016/sunset_song.html,,http://www.youtube.com/watch?v=6Be0zgCk6a8
Finding Dory,9/9/2016,9:45 PM,9/9/2016,11:28 PM,False,http://cinema.cornell.edu/Fall2016/finding_dory.html,,http://www.youtube.com/watch?v=CBa4r_aKtYI
Finding Dory,9/10/2016,7:00 PM,9/10/2016,8:43 PM,False,http://cinema.cornell.edu/Fall2016/finding_dory.html,,http://www.youtube.com/watch?v=CBa4r_aKtYI
Finding Dory,9/10/2016,9:15 PM,9/10/2016,10:58 PM,False,http://cinema.cornell.edu/Fall2016/finding_dory.html,,http://www.youtube.com/watch?v=CBa4r_aKtYI
Finding Dory,9/11/2016,7:00 PM,9/11/2016,8:43 PM,False,http://cinema.cornell.edu/Fall2016/finding_dory.html,,http://www.youtube.com/watch?v=CBa4r_aKtYI
Branded to Kill,9/11/2016,9:15 PM,9/11/2016,10:46 PM,False,http://cinema.cornell.edu/Fall2016/branded_to_kill.html,,http://www.youtube.com/watch?v=oou1UmrDlyg
Johnny Guitar,9/12/2016,9:15 PM,9/12/2016,11:05 PM,False,http://cinema.cornell.edu/Fall2016/johnny_guitar.html,,http://www.youtube.com/watch?v=ACgSyxdV9vE
Bang on a Can Composers Michael Gordon & Julian Wolf: Collaborations with Bill Morrison,9/14/2016,7:15 PM,9/14/2016,7:15 PM,False,http://cinema.cornell.edu/Fall2016/bang_on_a_can_composers_michael.html,,
NUTS!,9/15/2016,7:00 PM,9/15/2016,8:19 PM,False,http://cinema.cornell.edu/Fall2016/nuts.html,,http://vimeo.com/158394255
The Wailing,9/15/2016,9:30 PM,9/15/2016,12:06 PM,False,http://cinema.cornell.edu/Fall2016/wailing.html,,http://www.youtube.com/watch?v=g01g2ZhaWi4
De Palma,9/16/2016,7:00 PM,9/16/2016,8:47 PM,False,http://cinema.cornell.edu/Fall2016/de_palma.html,,http://www.youtube.com/watch?v=97XoMjwoZ5w
Swiss Army Man,9/16/2016,9:30 PM,9/16/2016,11:07 PM,False,http://cinema.cornell.edu/Fall2016/swiss_army_man.html,,http://www.youtube.com/watch?v=yrK1f4TsQfM
Swiss Army Man,9/17/2016,7:15 PM,9/17/2016,8:52 PM,False,http://cinema.cornell.edu/Fall2016/swiss_army_man.html,,http://www.youtube.com/watch?v=yrK1f4TsQfM
The Wailing,9/17/2016,9:30 PM,9/17/2016,12:06 PM,False,http://cinema.cornell.edu/Fall2016/wailing.html,,http://www.youtube.com/watch?v=g01g2ZhaWi4
De Palma,9/18/2016,7:00 PM,9/18/2016,8:47 PM,False,http://cinema.cornell.edu/Fall2016/de_palma.html,,http://www.youtube.com/watch?v=97XoMjwoZ5w
Swiss Army Man,9/18/2016,9:30 PM,9/18/2016,11:07 PM,False,http://cinema.cornell.edu/Fall2016/swiss_army_man.html,,http://www.youtube.com/watch?v=yrK1f4TsQfM
