Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
Blue Jasmine,1/21/2014,7:15 PM,01/21/14,8:53 PM,False,http://cinema.cornell.edu/Spring2014/blue_jasmine.html,,http://www.youtube.com/watch?v=FER3C394aI8
Porco Rosso,1/22/2014,7:15 PM,1/22/2014,8:49 PM,False,http://cinema.cornell.edu/Spring2014/porco_rosso.html,,http://www.youtube.com/watch?v=L4SyyLJKmUk
Captain Phillips,1/22/2014,9:30 PM,1/22/2014,11:44 PM,False,http://cinema.cornell.edu/Spring2014/captain_phillips.html,,http://www.youtube.com/watch?v=OiTiKOy59o4
The Pervert’s Guide to Ideology,1/23/2014,7:00 PM,1/23/2014,9:16 PM,False,http://cinema.cornell.edu/Spring2014/perverts_guide_to_ideolo.html,,http://www.youtube.com/watch?v=NUKbhKV7Ia8
Captain Phillips,1/23/2014,9:45 PM,1/23/2014,11:59 PM,False,http://cinema.cornell.edu/Spring2014/captain_phillips.html,,http://www.youtube.com/watch?v=OiTiKOy59o4
Blue Jasmine,1/24/2014,7:15 PM,1/24/2014,8:53 PM,False,http://cinema.cornell.edu/Spring2014/blue_jasmine.html,,http://www.youtube.com/watch?v=FER3C394aI8
Captain Phillips,1/24/2014,9:30 PM,1/24/2014,11:44 PM,False,http://cinema.cornell.edu/Spring2014/captain_phillips.html,,http://www.youtube.com/watch?v=OiTiKOy59o4
The Pervert’s Guide to Ideology,1/25/2014,7:00 PM,1/25/2014,9:16 PM,False,http://cinema.cornell.edu/Spring2014/perverts_guide_to_ideolo.html,,http://www.youtube.com/watch?v=NUKbhKV7Ia8
Porco Rosso,1/25/2014,9:45 PM,1/25/2014,11:19 PM,False,http://cinema.cornell.edu/Spring2014/porco_rosso.html,,http://www.youtube.com/watch?v=L4SyyLJKmUk
At Berkeley,1/26/2014,2:30 PM,1/26/2014,6:34 PM,False,http://cinema.cornell.edu/Spring2014/at_berkeley.html,,http://vimeo.com/50187390
Captain Phillips,1/26/2014,7:15 PM,1/26/2014,9:29 PM,False,http://cinema.cornell.edu/Spring2014/captain_phillips.html,,http://www.youtube.com/watch?v=OiTiKOy59o4
Grass: A Nation’s Battle for Life,1/28/2014,7:30 PM,1/28/2014,8:41 PM,False,http://cinema.cornell.edu/Spring2014/grass_a_nations_battle_f.html,Sage Chapel,http://www.youtube.com/watch?v=zxWhlwsb7Es
The Ring,1/29/2014,7:00 PM,1/29/2014,8:48 PM,False,http://cinema.cornell.edu/Spring2014/ring.html,,http://explore.bfi.org.uk/get_video_player/17850
Mulholland Drive,1/29/2014,9:30 PM,1/29/2014,11:56 PM,False,http://cinema.cornell.edu/Spring2014/mulholland_drive.html,,http://www.youtube.com/watch?v=KzdNrWmAV0E
More Than Honey,1/30/2014,7:00 PM,1/30/2014,8:35 PM,False,http://cinema.cornell.edu/Spring2014/more_than_honey.html,,http://www.youtube.com/watch?v=2NT05qEJxUk
