Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
The Martian,1/26/2016,7:00 PM,1/26/2016,9:21 PM,False,http://cinema.cornell.edu/Spring2016/martian.html,,http://www.youtube.com/watch?v=ej3ioOneTy8
Straight Outta Compton,1/27/2016,7:00 PM,1/27/2016,9:27 PM,False,http://cinema.cornell.edu/Spring2016/straight_outta_compton.html,,http://www.youtube.com/watch?v=rsbWEF1Sju0
The Winding Stream,1/28/2016,7:00 PM,1/28/2016,8:31 PM,False,http://cinema.cornell.edu/Spring2016/winding_stream.html,,http://www.youtube.com/watch?v=gJDwlNLKUxo
Chi-Raq,1/28/2016,9:00 PM,1/28/2016,10:58 PM,False,http://cinema.cornell.edu/Spring2016/chiraq.html,,http://www.youtube.com/watch?v=rGTuuj-aTJs
The Winding Stream,1/29/2016,7:00 PM,1/29/2016,8:31 PM,False,http://cinema.cornell.edu/Spring2016/winding_stream.html,,http://www.youtube.com/watch?v=gJDwlNLKUxo
The Martian,1/29/2016,9:00 PM,1/29/2016,11:21 PM,False,http://cinema.cornell.edu/Spring2016/martian.html,,http://www.youtube.com/watch?v=ej3ioOneTy8
Boy & the World,1/30/2016,2:00 PM,1/30/2016,3:20 PM,False,http://cinema.cornell.edu/Spring2016/boy__the_world.html,,http://www.youtube.com/watch?v=eqdrwu0NvY8
The Martian,1/30/2016,6:45 PM,1/30/2016,9:06 PM,False,http://cinema.cornell.edu/Spring2016/martian.html,,http://www.youtube.com/watch?v=ej3ioOneTy8
Chi-Raq,1/30/2016,9:45 PM,1/30/2016,11:43 PM,False,http://cinema.cornell.edu/Spring2016/chiraq.html,,http://www.youtube.com/watch?v=rGTuuj-aTJs
Boy & the World,1/31/2016,4:30 PM,1/31/2016,5:50 PM,False,http://cinema.cornell.edu/Spring2016/boy__the_world.html,,http://www.youtube.com/watch?v=eqdrwu0NvY8
Straight Outta Compton,1/31/2016,7:00 PM,1/31/2016,9:27 PM,False,http://cinema.cornell.edu/Spring2016/straight_outta_compton.html,,http://www.youtube.com/watch?v=rsbWEF1Sju0
He Named Me Malala,2/1/2016,7:00 PM,2/1/2016,8:27 PM,False,http://cinema.cornell.edu/Spring2016/he_named_me_malala.html,,http://www.youtube.com/watch?v=vE5gSHJkusU
Piled Higher and Deeper The Movie,2/2/2016,7:00 PM,2/2/2016,8:07 PM,False,http://cinema.cornell.edu/Spring2016/piled_higher_and_deeper.html,,http://www.youtube.com/watch?v=SpZ5rS4KhOA
Piled Higher and Deeper: Still in Grad School,2/3/2016,7:00 PM,2/3/2016,8:20 PM,False,http://cinema.cornell.edu/Spring2016/piled_higher_and_deeper_2.html,,http://www.youtube.com/watch?v=yb2y_a7hL5M
The Assassin,2/4/2016,7:00 PM,2/4/2016,8:44 PM,False,http://cinema.cornell.edu/Spring2016/assassin.html,,http://www.youtube.com/watch?v=CKFtNsQ78oI
Ip Man 3,2/4/2016,9:15 PM,2/4/2016,11:00 PM,False,http://cinema.cornell.edu/Spring2016/ip_man_3.html,,http://www.youtube.com/watch?v=jckXscMwIOI
Oscar Shorts: Live Action,2/5/2016,7:00 PM,2/5/2016,7:00 PM,False,http://cinema.cornell.edu/Spring2016/oscar_shorts_live_action.html,,http://vimeo.com/146928939
Oscar Shorts: Animation,2/5/2016,9:40 PM,2/5/2016,9:40 PM,False,http://cinema.cornell.edu/Spring2016/oscar_shorts_animation.html,,http://vimeo.com/146928939
Kiki’s Delivery Service,2/6/2016,2:00 PM,2/6/2016,3:43 PM,False,http://cinema.cornell.edu/Spring2016/kikis_delivery_service.html,,http://www.youtube.com/watch?v=piIdiZ44zzU
The Assassin,2/6/2016,7:00 PM,2/6/2016,8:44 PM,False,http://cinema.cornell.edu/Spring2016/assassin.html,,http://www.youtube.com/watch?v=CKFtNsQ78oI
Oscar Shorts: Animation,2/6/2016,9:15 PM,2/6/2016,9:15 PM,False,http://cinema.cornell.edu/Spring2016/oscar_shorts_animation.html,,http://vimeo.com/146928939
Oscar Shorts: Live Action,2/7/2016,1:45 PM,2/7/2016,1:45 PM,False,http://cinema.cornell.edu/Spring2016/oscar_shorts_live_action.html,,http://vimeo.com/146928939
Oscar Shorts: Animation,2/7/2016,4:30 PM,2/7/2016,4:30 PM,False,http://cinema.cornell.edu/Spring2016/oscar_shorts_animation.html,,http://vimeo.com/146928939
Ip Man 3,2/7/2016,7:00 PM,2/7/2016,8:45 PM,False,http://cinema.cornell.edu/Spring2016/ip_man_3.html,,http://www.youtube.com/watch?v=jckXscMwIOI
Oscar Shorts: Documentary,2/9/2016,7:00 PM,2/9/2016,7:00 PM,False,http://cinema.cornell.edu/Spring2016/oscar_shorts_documentary.html,,http://vimeo.com/146928939
The Case of the Grinning Cat,2/10/2016,7:00 PM,2/10/2016,8:16 PM,False,http://cinema.cornell.edu/Spring2016/case_of_the_grinning_cat.html,,http://www.youtube.com/watch?v=5aIE3O-3RKg
Me and Earl and the Dying Girl,2/11/2016,7:00 PM,2/11/2016,8:45 PM,False,http://cinema.cornell.edu/Spring2016/me_and_earl_and_the_dyin.html,,http://www.youtube.com/watch?v=2qfmAllbYC8
Spectre,2/11/2016,9:30 PM,2/11/2016,11:58 PM,False,http://cinema.cornell.edu/Spring2016/spectre.html,,http://www.youtube.com/watch?v=7GqClqvlObY
Ip Man 3,2/12/2016,7:00 PM,2/12/2016,8:45 PM,False,http://cinema.cornell.edu/Spring2016/ip_man_3.html,,http://www.youtube.com/watch?v=jckXscMwIOI
