Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location,Description
Casablanca,08/25/2013,7:30 PM,08/25/2013,9:12 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/casablanca.html"">Casablanca</a>
"
Breakfast at Tiffany_s,08/26/2013,7:15 PM,08/26/2013,9:10 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/breakfast_at_tiffanys.html"">Breakfast at Tiffany_s</a>
"
Citizen Kane,08/26/2013,9:45 PM,08/26/2013,11:44 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/citizen_kane.html"">Citizen Kane</a>
"
"Orientation to Cornell Cinema, An",08/27/2013,7:15 PM,08/27/2013,8:45 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/orientation_to_cornell_c.html"">Orientation to Cornell Cinema, An</a>
"
Casablanca,08/27/2013,9:30 PM,08/27/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/casablanca.html"">Casablanca</a>
"
Citizen Kane,08/28/2013,7:15 PM,08/28/2013,7:15 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/citizen_kane.html"">Citizen Kane</a>
"
Breakfast at Tiffany_s,08/28/2013,9:45 PM,08/28/2013,9:45 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/breakfast_at_tiffanys.html"">Breakfast at Tiffany_s</a>
"
"Great Gatsby, The (2013)",08/29/2013,7:15 PM,08/29/2013,9:38 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/great_gatsby_the_2013.html"">Great Gatsby, The (2013)</a>
"
Star Trek Into Darkness,08/29/2013,10:15 PM,08/29/2013,12:27 AM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/star_trek_into_darkness.html"">Star Trek Into Darkness</a>
"
From Up on Poppy Hill,08/30/2013,7:30 PM,08/30/2013,9:01 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/from_up_on_poppy_hill.html"">From Up on Poppy Hill</a>
"
